# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LOC111828557	gene-LOC111828557	XM_023776770.1	protein_coding	0	0	0	408	0	0	0	0	0	0	0	170	0	0	0	0	54	0	0	0	0	0	0	0	0	0	184
LOC111828617	gene-LOC111828617	XM_023776989.1	protein_coding	0	0	0	314	0	0	0	0	0	0	0	157	0	0	0	0	80	0	0	0	0	0	0	0	0	0	77
LOC111828617	gene-LOC111828617	XM_023776990.1	protein_coding	0	0	0	303	0	0	0	0	0	0	0	157	0	0	0	0	52	0	0	0	0	0	0	0	0	0	94
LOC111828699	gene-LOC111828699	XM_023777241.1	protein_coding	0	0	0	358	0	0	0	0	0	0	0	165	0	0	0	0	13	0	0	0	0	0	0	0	0	0	180
LOC111828765	gene-LOC111828765	XR_002832526.1	snoRNA	0	0	0	283	0	0	0	0	0	0	0	159	0	0	0	0	1	0	0	0	0	0	0	0	0	0	123
LOC111828766	gene-LOC111828766	XR_002832527.1	snoRNA	0	0	0	30	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111828778	gene-LOC111828778	XR_002832539.1	snoRNA	0	0	0	30	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC111828779	gene-LOC111828779	XR_002832540.1	snoRNA	0	0	0	293	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137
LOC111828785	gene-LOC111828785	XR_002832546.1	snoRNA	0	0	0	30	0	0	0	0	0	0	0	17	0	0	0	0	8	0	0	0	0	0	0	0	0	0	5
LOC111828786	gene-LOC111828786	XR_002832547.1	snoRNA	0	0	0	297	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143
LOC111828791	gene-LOC111828791	XR_002832552.1	snRNA	0	0	0	305	0	0	0	0	0	0	0	184	0	0	0	0	4	0	0	0	0	0	0	0	0	0	117
LOC111828817	gene-LOC111828817	XR_002832577.1	snoRNA	0	0	0	30	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC111828818	gene-LOC111828818	XR_002832578.1	snoRNA	0	0	0	286	0	0	0	0	0	0	0	154	0	0	0	0	3	0	0	0	0	0	0	0	0	0	129
LOC111828822	gene-LOC111828822	XR_002832582.1	snoRNA	0	0	0	285	0	0	0	0	0	0	0	155	0	0	0	0	3	0	0	0	0	0	0	0	0	0	127
LOC111828823	gene-LOC111828823	XR_002832583.1	snoRNA	0	0	0	30	0	0	0	0	0	0	0	28	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
LOC111829097	gene-LOC111829097	XR_002832656.1	snRNA	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
LOC111830456	gene-LOC111830456	XM_023782317.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
LOC111830458	gene-LOC111830458	XM_023782318.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111830462	gene-LOC111830462	XM_023782330.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC111831048	gene-LOC111831048	XM_023784558.1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111831049	LOC111831049	gene-LOC111831049	pseudogene	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111832217	gene-LOC111832217	XR_002835257.1	rRNA	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
LOC111832502	gene-LOC111832502	XM_023789120.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111832513	gene-LOC111832513	XM_023789198.1	protein_coding	0	0	0	242	0	0	0	0	0	0	0	141	0	0	0	0	41	0	0	0	0	0	0	0	0	0	60
LOC111832513	gene-LOC111832513	XM_023789199.1	protein_coding	0	0	0	242	0	0	0	0	0	0	0	141	0	0	0	0	41	0	0	0	0	0	0	0	0	0	60
LOC111832518	gene-LOC111832518	XM_023789244.1	protein_coding	0	0	0	197	0	0	0	0	0	0	0	105	0	0	0	0	18	0	0	0	0	0	0	0	0	0	74
LOC111832530	gene-LOC111832530	XM_023789362.1	protein_coding	0	0	0	163	0	0	0	0	0	0	0	54	0	0	0	0	17	0	0	0	0	0	0	0	0	0	92
LOC111832558	gene-LOC111832558	XM_023789647.1	protein_coding	0	0	0	252	0	0	0	0	0	0	0	130	0	0	0	0	15	0	0	0	0	0	0	0	0	0	107
LOC111832567	gene-LOC111832567	XM_023789711.1	protein_coding	0	0	0	336	0	0	0	0	0	0	0	184	0	0	0	0	55	0	0	0	0	0	0	0	0	0	97
LOC111832598	LOC111832598	gene-LOC111832598	pseudogene	0	1	0	209	0	0	0	0	0	0	0	38	0	10	0	53	0	0	0	1	0	0	0	0	0	0	109
LOC111832637	gene-LOC111832637	XM_023790148.1	protein_coding	0	0	0	261	0	0	0	0	0	0	0	123	0	0	0	0	10	0	0	0	0	0	0	0	0	0	128
LOC17874915	gene-LOC17874915	XM_006281915.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC17875217	gene-LOC17875217	XM_006281490.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC17875893	gene-LOC17875893	XM_023777399.1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
LOC17876107	gene-LOC17876107	XM_006281590.2	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17876718	gene-LOC17876718	XM_006280468.2	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17877020	gene-LOC17877020	XM_023777557.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
LOC17877737	gene-LOC17877737	XM_023779153.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17877774	gene-LOC17877774	XR_002832867.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17877774	gene-LOC17877774	XR_002832868.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17877774	gene-LOC17877774	XR_002832869.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17877774	gene-LOC17877774	XR_002832870.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17877880	gene-LOC17877880	XM_006283892.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LOC17878098	gene-LOC17878098	XM_006285248.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17878451	gene-LOC17878451	XM_006285958.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC17879286	gene-LOC17879286	XM_023779069.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17879700	gene-LOC17879700	XM_006283272.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
